Date,Time,State,Candidate,Party,Traffic
2016-03-11,8:00:00,IL,sanders,dem,20
2016-03-11,9:00:00,IL,sanders,dem,21
2016-03-11,10:00:00,IL,sanders,dem,17
2016-03-11,11:00:00,IL,sanders,dem,15
2016-03-11,12:00:00,IL,sanders,dem,20
2016-03-11,13:00:00,IL,sanders,dem,20
2016-03-11,14:00:00,IL,sanders,dem,19
2016-03-11,15:00:00,IL,sanders,dem,19
2016-03-11,16:00:00,IL,sanders,dem,18
2016-03-11,17:00:00,IL,sanders,dem,23
2016-03-11,18:00:00,IL,sanders,dem,26
2016-03-11,19:00:00,IL,sanders,dem,24
2016-03-11,20:00:00,IL,sanders,dem,23
2016-03-11,21:00:00,IL,sanders,dem,25
2016-03-11,22:00:00,IL,sanders,dem,26
2016-03-11,23:00:00,IL,sanders,dem,32
2016-03-12,0:00:00,IL,sanders,dem,35
2016-03-12,1:00:00,IL,sanders,dem,43
2016-03-12,2:00:00,IL,sanders,dem,44
2016-03-12,3:00:00,IL,sanders,dem,48
2016-03-12,4:00:00,IL,sanders,dem,55
2016-03-12,5:00:00,IL,sanders,dem,45
2016-03-12,6:00:00,IL,sanders,dem,42
2016-03-12,7:00:00,IL,sanders,dem,42
2016-03-12,8:00:00,IL,sanders,dem,42
2016-03-12,9:00:00,IL,sanders,dem,28
2016-03-12,10:00:00,IL,sanders,dem,28
2016-03-12,11:00:00,IL,sanders,dem,23
2016-03-12,12:00:00,IL,sanders,dem,32
2016-03-12,13:00:00,IL,sanders,dem,31
2016-03-12,14:00:00,IL,sanders,dem,33
2016-03-12,15:00:00,IL,sanders,dem,35
2016-03-12,16:00:00,IL,sanders,dem,31
2016-03-12,17:00:00,IL,sanders,dem,33
2016-03-12,18:00:00,IL,sanders,dem,30
2016-03-12,19:00:00,IL,sanders,dem,29
2016-03-12,20:00:00,IL,sanders,dem,28
2016-03-12,21:00:00,IL,sanders,dem,30
2016-03-12,22:00:00,IL,sanders,dem,26
2016-03-12,23:00:00,IL,sanders,dem,30
2016-03-13,0:00:00,IL,sanders,dem,29
2016-03-13,1:00:00,IL,sanders,dem,28
2016-03-13,2:00:00,IL,sanders,dem,28
2016-03-13,3:00:00,IL,sanders,dem,27
2016-03-13,4:00:00,IL,sanders,dem,41
2016-03-13,5:00:00,IL,sanders,dem,31
2016-03-13,6:00:00,IL,sanders,dem,28
2016-03-13,7:00:00,IL,sanders,dem,26
2016-03-13,8:00:00,IL,sanders,dem,25
2016-03-13,9:00:00,IL,sanders,dem,26
2016-03-13,10:00:00,IL,sanders,dem,23
2016-03-13,11:00:00,IL,sanders,dem,22
2016-03-13,12:00:00,IL,sanders,dem,19
2016-03-13,13:00:00,IL,sanders,dem,24
2016-03-13,14:00:00,IL,sanders,dem,26
2016-03-13,15:00:00,IL,sanders,dem,27
2016-03-13,16:00:00,IL,sanders,dem,27
2016-03-13,17:00:00,IL,sanders,dem,24
2016-03-13,18:00:00,IL,sanders,dem,25
2016-03-13,19:00:00,IL,sanders,dem,25
2016-03-13,20:00:00,IL,sanders,dem,26
2016-03-13,21:00:00,IL,sanders,dem,26
2016-03-13,22:00:00,IL,sanders,dem,28
2016-03-13,23:00:00,IL,sanders,dem,28
2016-03-14,0:00:00,IL,sanders,dem,36
2016-03-14,1:00:00,IL,sanders,dem,32
2016-03-14,2:00:00,IL,sanders,dem,33
2016-03-14,3:00:00,IL,sanders,dem,40
2016-03-14,4:00:00,IL,sanders,dem,35
2016-03-14,5:00:00,IL,sanders,dem,34
2016-03-14,6:00:00,IL,sanders,dem,29
2016-03-14,7:00:00,IL,sanders,dem,29
2016-03-14,8:00:00,IL,sanders,dem,26
2016-03-14,9:00:00,IL,sanders,dem,24
2016-03-14,10:00:00,IL,sanders,dem,26
2016-03-14,11:00:00,IL,sanders,dem,26
2016-03-14,12:00:00,IL,sanders,dem,28
2016-03-14,13:00:00,IL,sanders,dem,26
2016-03-14,14:00:00,IL,sanders,dem,27
2016-03-14,15:00:00,IL,sanders,dem,26
2016-03-14,16:00:00,IL,sanders,dem,27
2016-03-14,17:00:00,IL,sanders,dem,28
2016-03-14,18:00:00,IL,sanders,dem,27
2016-03-14,19:00:00,IL,sanders,dem,25
2016-03-14,20:00:00,IL,sanders,dem,27
2016-03-14,21:00:00,IL,sanders,dem,32
2016-03-14,22:00:00,IL,sanders,dem,40
2016-03-14,23:00:00,IL,sanders,dem,48
2016-03-15,0:00:00,IL,sanders,dem,44
2016-03-15,1:00:00,IL,sanders,dem,47
2016-03-15,2:00:00,IL,sanders,dem,53
2016-03-15,3:00:00,IL,sanders,dem,68
2016-03-15,4:00:00,IL,sanders,dem,54
2016-03-15,5:00:00,IL,sanders,dem,50
2016-03-15,6:00:00,IL,sanders,dem,49
2016-03-15,7:00:00,IL,sanders,dem,40
2016-03-15,8:00:00,IL,sanders,dem,33
2016-03-15,9:00:00,IL,sanders,dem,30
2016-03-15,10:00:00,IL,sanders,dem,41
2016-03-15,11:00:00,IL,sanders,dem,47
2016-03-15,12:00:00,IL,sanders,dem,50
2016-03-15,13:00:00,IL,sanders,dem,48
2016-03-15,14:00:00,IL,sanders,dem,49
2016-03-15,15:00:00,IL,sanders,dem,47
2016-03-15,16:00:00,IL,sanders,dem,49
2016-03-15,17:00:00,IL,sanders,dem,49
2016-03-15,18:00:00,IL,sanders,dem,50
2016-03-15,19:00:00,IL,sanders,dem,48
2016-03-15,20:00:00,IL,sanders,dem,50
2016-03-15,21:00:00,IL,sanders,dem,62
2016-03-15,22:00:00,IL,sanders,dem,68
2016-03-15,23:00:00,IL,sanders,dem,66
2016-03-16,0:00:00,IL,sanders,dem,78
2016-03-16,1:00:00,IL,sanders,dem,81
2016-03-16,2:00:00,IL,sanders,dem,84
2016-03-16,3:00:00,IL,sanders,dem,87
2016-03-09,4:00:00,MO,sanders,dem,59
2016-03-09,5:00:00,MO,sanders,dem,65
2016-03-09,6:00:00,MO,sanders,dem,63
2016-03-09,7:00:00,MO,sanders,dem,59
2016-03-09,8:00:00,MO,sanders,dem,42
2016-03-09,9:00:00,MO,sanders,dem,36
2016-03-09,10:00:00,MO,sanders,dem,42
2016-03-09,11:00:00,MO,sanders,dem,35
2016-03-09,12:00:00,MO,sanders,dem,44
2016-03-09,13:00:00,MO,sanders,dem,37
2016-03-09,14:00:00,MO,sanders,dem,26
2016-03-09,15:00:00,MO,sanders,dem,23
2016-03-09,16:00:00,MO,sanders,dem,23
2016-03-09,17:00:00,MO,sanders,dem,21
2016-03-09,18:00:00,MO,sanders,dem,21
2016-03-09,19:00:00,MO,sanders,dem,20
2016-03-09,20:00:00,MO,sanders,dem,18
2016-03-09,21:00:00,MO,sanders,dem,17
2016-03-09,22:00:00,MO,sanders,dem,18
2016-03-09,23:00:00,MO,sanders,dem,26
2016-03-10,0:00:00,MO,sanders,dem,27
2016-03-10,1:00:00,MO,sanders,dem,21
2016-03-10,2:00:00,MO,sanders,dem,30
2016-03-10,3:00:00,MO,sanders,dem,37
2016-03-10,4:00:00,MO,sanders,dem,42
2016-03-10,5:00:00,MO,sanders,dem,35
2016-03-10,6:00:00,MO,sanders,dem,34
2016-03-10,7:00:00,MO,sanders,dem,29
2016-03-10,8:00:00,MO,sanders,dem,24
2016-03-10,9:00:00,MO,sanders,dem,22
2016-03-10,10:00:00,MO,sanders,dem,17
2016-03-10,11:00:00,MO,sanders,dem,27
2016-03-10,12:00:00,MO,sanders,dem,24
2016-03-10,13:00:00,MO,sanders,dem,26
2016-03-10,14:00:00,MO,sanders,dem,24
2016-03-10,15:00:00,MO,sanders,dem,21
2016-03-10,16:00:00,MO,sanders,dem,19
2016-03-10,17:00:00,MO,sanders,dem,18
2016-03-10,18:00:00,MO,sanders,dem,19
2016-03-10,19:00:00,MO,sanders,dem,17
2016-03-10,20:00:00,MO,sanders,dem,15
2016-03-10,21:00:00,MO,sanders,dem,18
2016-03-10,22:00:00,MO,sanders,dem,18
2016-03-10,23:00:00,MO,sanders,dem,21
2016-03-11,0:00:00,MO,sanders,dem,26
2016-03-11,1:00:00,MO,sanders,dem,25
2016-03-11,2:00:00,MO,sanders,dem,24
2016-03-11,3:00:00,MO,sanders,dem,28
2016-03-11,4:00:00,MO,sanders,dem,29
2016-03-11,5:00:00,MO,sanders,dem,30
2016-03-11,6:00:00,MO,sanders,dem,21
2016-03-11,7:00:00,MO,sanders,dem,18
2016-03-11,8:00:00,MO,sanders,dem,26
2016-03-11,9:00:00,MO,sanders,dem,25
2016-03-11,10:00:00,MO,sanders,dem,13
2016-03-11,11:00:00,MO,sanders,dem,22
2016-03-11,12:00:00,MO,sanders,dem,20
2016-03-11,13:00:00,MO,sanders,dem,21
2016-03-11,14:00:00,MO,sanders,dem,18
2016-03-11,15:00:00,MO,sanders,dem,20
2016-03-11,16:00:00,MO,sanders,dem,17
2016-03-11,17:00:00,MO,sanders,dem,24
2016-03-11,18:00:00,MO,sanders,dem,33
2016-03-11,19:00:00,MO,sanders,dem,31
2016-03-11,20:00:00,MO,sanders,dem,29
2016-03-11,21:00:00,MO,sanders,dem,30
2016-03-11,22:00:00,MO,sanders,dem,28
2016-03-11,23:00:00,MO,sanders,dem,38
2016-03-12,0:00:00,MO,sanders,dem,42
